openalex_id,title,abstract,publication_year,journal,source_type,authors,cited_by_count,concepts,doi,work_type,language,author_count,authors_display,concepts_display
https://openalex.org/W2166073443,"FieldTrip: Open Source Software for Advanced Analysis of MEG, EEG, and Invasive Electrophysiological Data","This paper describes FieldTrip, an open source software package that we developed for the analysis of MEG, EEG, and other electrophysiological data. The software is implemented as a MATLAB toolbox and includes a complete set of consistent and user-friendly high-level functions that allow experimental neuroscientists to analyze experimental data. It includes algorithms for simple and advanced analysis, such as time-frequency analysis using multitapers, source reconstruction using dipoles, distributed sources and beamformers, connectivity analysis, and nonparametric statistical permutation tests at the channel and source level. The implementation as toolbox allows the user to perform elaborate and structured analyses of large data sets using the MATLAB command line and batch scripting. Furthermore, users and developers can easily extend the functionality and implement new algorithms. The modular design facilitates the reuse in other software packages.",2010,Computational Intelligence and Neuroscience,journal,"['Robert Oostenveld', 'Pascal Fries', 'Eric Maris', 'Jan‐Mathijs Schoffelen']",11155,"['Computer science', 'Toolbox', 'Software', 'MATLAB', 'Scripting language', 'Modular design', 'Data mining', 'Permutation (music)', 'Computer engineering', 'Programming language', 'Physics', 'Acoustics']",https://doi.org/10.1155/2011/156869,article,en,4,"Robert Oostenveld, Pascal Fries, Eric Maris, Jan‐Mathijs Schoffelen","Computer science, Toolbox, Software, MATLAB, Scripting language"
https://openalex.org/W2116658855,Dissociable Intrinsic Connectivity Networks for Salience Processing and Executive Control,"Variations in neural circuitry, inherited or acquired, may underlie important individual differences in thought, feeling, and action patterns. Here, we used task-free connectivity analyses to isolate and characterize two distinct networks typically coactivated during functional MRI tasks. We identified a ""salience network,"" anchored by dorsal anterior cingulate (dACC) and orbital frontoinsular cortices with robust connectivity to subcortical and limbic structures, and an ""executive-control network"" that links dorsolateral frontal and parietal neocortices. These intrinsic connectivity networks showed dissociable correlations with functions measured outside the scanner. Prescan anxiety ratings correlated with intrinsic functional connectivity of the dACC node of the salience network, but with no region in the executive-control network, whereas executive task performance correlated with lateral parietal nodes of the executive-control network, but with no region in the salience network. Our findings suggest that task-free analysis of intrinsic connectivity networks may help elucidate the neural architectures that support fundamental aspects of human behavior.",2007,Journal of Neuroscience,journal,"['William W. Seeley', 'Vinod Menon', 'Alan F. Schatzberg', 'Jennifer Keller', 'Gary H. Glover', 'Heather A. Kenna', 'Allan L. Reiss', 'Michael D. Greicius']",7430,"['Psychology', 'Task-positive network', 'Salience (neuroscience)', 'Neuroscience', 'Anterior cingulate cortex', 'Functional connectivity', 'Default mode network', 'Cognitive psychology', 'Cognition']",https://doi.org/10.1523/jneurosci.5587-06.2007,article,en,8,"William W. Seeley, Vinod Menon, Alan F. Schatzberg, Jennifer Keller, Gary H. Glover","Psychology, Task-positive network, Salience (neuroscience), Neuroscience, Anterior cingulate cortex"
https://openalex.org/W3140854437,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions","In the last few years, the deep learning (DL) computing paradigm has been deemed the Gold Standard in the machine learning (ML) community. Moreover, it has gradually become the most widely used computational approach in the field of ML, thus achieving outstanding results on several complex cognitive tasks, matching or even beating those provided by human performance. One of the benefits of DL is the ability to learn massive amounts of data. The DL field has grown fast in the last few years and it has been extensively used to successfully address a wide range of traditional applications. More importantly, DL has outperformed well-known ML techniques in many domains, e.g., cybersecurity, natural language processing, bioinformatics, robotics and control, and medical information processing, among many others. Despite it has been contributed several works reviewing the State-of-the-Art on DL, all of them only tackled one aspect of the DL, which leads to an overall lack of knowledge about it. Therefore, in this contribution, we propose using a more holistic approach in order to provide a more suitable starting point from which to develop a full understanding of DL. Specifically, this review attempts to provide a more comprehensive survey of the most important aspects of DL and including those enhancements recently added to the field. In particular, this paper outlines the importance of DL, presents the types of DL techniques and networks. It then presents convolutional neural networks (CNNs) which the most utilized DL network type and describes the development of CNNs architectures together with their main features, e.g., starting with the AlexNet network and closing with the High-Resolution network (HR.Net). Finally, we further present the challenges and suggested solutions to help researchers understand the existing research gaps. It is followed by a list of the major DL applications. Computational tools including FPGA, GPU, and CPU are summarized along with a description of their influence on DL. The paper ends with the evolution matrix, benchmark datasets, and summary and conclusion.",2021,Journal Of Big Data,journal,"['Laith Alzubaidi', 'Jinglan Zhang', 'Amjad J. Humaidi', 'Ayad Q. Al-Dujaili', 'Ye Duan', 'Omran Al-Shamma', 'José Santamaría', 'Mohammed A. Fadhel', 'Muthana Al‐Amidie', 'Laith Farhan']",7284,"['Computer science', 'Artificial intelligence', 'Field (mathematics)', 'Deep learning', 'Convolutional neural network', 'Machine learning', 'Data science', 'Point (geometry)', 'Matching (statistics)', 'Geometry', 'Pure mathematics', 'Statistics', 'Mathematics']",https://doi.org/10.1186/s40537-021-00444-8,article,en,10,"Laith Alzubaidi, Jinglan Zhang, Amjad J. Humaidi, Ayad Q. Al-Dujaili, Ye Duan","Computer science, Artificial intelligence, Field (mathematics), Deep learning, Convolutional neural network"
https://openalex.org/W2166667242,The magical number 4 in short-term memory: A reconsideration of mental storage capacity,"Miller (1956) summarized evidence that people can remember about seven chunks in short-term memory (STM) tasks. However, that number was meant more as a rough estimate and a rhetorical device than as a real capacity limit. Others have since suggested that there is a more precise capacity limit, but that it is only three to five chunks. The present target article brings together a wide variety of data on capacity limits suggesting that the smaller capacity limit is real. Capacity limits will be useful in analyses of information processing only if the boundary conditions for observing them can be carefully described. Four basic conditions in which chunks can be identified and capacity limits can accordingly be observed are: (1) when information overload limits chunks to individual stimulus items, (2) when other steps are taken specifically to block the recording of stimulus items into larger chunks, (3) in performance discontinuities caused by the capacity limit, and (4) in various indirect effects of the capacity limit. Under these conditions, rehearsal and long-term memory cannot be used to combine stimulus items into chunks of an unknown size; nor can storage mechanisms that are not capacity-limited, such as sensory memory, allow the capacity-limited storage mechanism to be refilled during recall. A single, central capacity limit averaging about four chunks is implicated along with other, noncapacity-limited sources. The pure STM capacity limit expressed in chunks is distinguished from compound STM limits obtained when the number of separately held chunks is unclear. Reasons why pure capacity estimates fall within a narrow range are discussed and a capacity limit for the focus of attention is proposed.",2001,Behavioral and Brain Sciences,journal,['Nelson Cowan'],6730,"['Mental capacity', 'Limit (mathematics)', 'Stimulus (psychology)', 'Computer science', 'Short-term memory', 'Recall', 'Sensory memory', 'Capacity loss', 'Classification of discontinuities', 'Working memory', 'Psychology', 'Cognitive psychology', 'Cognition', 'Mathematics', 'Neuroscience', 'Chemistry', 'Mathematical analysis', 'Electrode', 'Physical chemistry', 'Electrolyte', 'Psychiatry']",https://doi.org/10.1017/s0140525x01003922,article,en,1,Nelson Cowan,"Mental capacity, Limit (mathematics), Stimulus (psychology), Computer science, Short-term memory"
https://openalex.org/W2277195237,Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations,"Despite progress in perceptual tasks such as image classification, computers still perform poorly on cognitive tasks such as image description and question answering. Cognition is core to tasks that involve not just recognizing, but reasoning about our visual world. However, models used to tackle the rich content in images for cognitive tasks are still being trained using the same datasets designed for perceptual tasks. To achieve success at cognitive tasks, models need to understand the interactions and relationships between objects in an image. When asked “What vehicle is the person riding?”, computers will need to identify the objects in an image as well as the relationships riding(man, carriage) and pulling(horse, carriage) to answer correctly that “the person is riding a horse-drawn carriage.” In this paper, we present the Visual Genome dataset to enable the modeling of such relationships. We collect dense annotations of objects, attributes, and relationships within each image to learn these models. Specifically, our dataset contains over 108K images where each image has an average of $$35$$ objects, $$26$$ attributes, and $$21$$ pairwise relationships between objects. We canonicalize the objects, attributes, relationships, and noun phrases in region descriptions and questions answer pairs to WordNet synsets. Together, these annotations represent the densest and largest dataset of image descriptions, objects, attributes, relationships, and question answer pairs.",2017,International Journal of Computer Vision,journal,"['Ranjay Krishna', 'Yuke Zhu', 'Oliver Groth', 'Justin Johnson', 'Kenji Hata', 'Joshua Kravitz', 'Stephanie Chen', 'Yannis Kalantidis', 'Li-Jia Li', 'David A. Shamma', 'Michael S. Bernstein', 'Li Fei-Fei']",5104,"['Artificial intelligence', 'Computer science', 'Natural language processing', 'Genome', 'Image (mathematics)', 'Pattern recognition (psychology)', 'Computer vision', 'Annotation', 'Crowdsourcing', 'Image processing', 'Biology', 'Genetics', 'World Wide Web', 'Gene']",https://doi.org/10.1007/s11263-016-0981-7,article,en,12,"Ranjay Krishna, Yuke Zhu, Oliver Groth, Justin Johnson, Kenji Hata","Artificial intelligence, Computer science, Natural language processing, Genome, Image (mathematics)"
https://openalex.org/W2138190873,Classification of primary progressive aphasia and its variants,"This article provides a classification of primary progressive aphasia (PPA) and its 3 main variants to improve the uniformity of case reporting and the reliability of research results. Criteria for the 3 variants of PPA--nonfluent/agrammatic, semantic, and logopenic--were developed by an international group of PPA investigators who convened on 3 occasions to operationalize earlier published clinical descriptions for PPA subtypes. Patients are first diagnosed with PPA and are then divided into clinical variants based on specific speech and language features characteristic of each subtype. Classification can then be further specified as ""imaging-supported"" if the expected pattern of atrophy is found and ""with definite pathology"" if pathologic or genetic data are available. The working recommendations are presented in lists of features, and suggested assessment tasks are also provided. These recommendations have been widely agreed upon by a large group of experts and should be used to ensure consistency of PPA classification in future studies. Future collaborations will collect prospective data to identify relationships between each of these syndromes and specific biomarkers for a more detailed understanding of clinicopathologic correlations.",2011,Neurology,journal,"['Maria‐Luisa Gorno‐Tempini', 'Argye E. Hillis', 'Sandra Weıntraub', 'Andrew Kertesz', 'Mario F. Mendez', 'Stefano F. Cappa', 'J. Ogar', 'Jonathan D. Rohrer', 'Sandra E. Black', 'Bradley F. Boeve', 'Facundo Manes', 'Nina F. Dronkers', 'Rik Vandenberghe', 'Katya Rascovsky', 'Karalyn Patterson', 'Bruce L. Miller', 'David S. Knopman', 'J. R. Hodges', 'Marsel Mesulam', 'Owen A. Ross']",5036,"['Primary progressive aphasia', 'Consistency (knowledge bases)', 'Operationalization', 'Natural language processing', 'Computer science', 'Reliability (semiconductor)', 'Aphasia', 'Medicine', 'Psychology', 'Artificial intelligence', 'Pathology', 'Frontotemporal dementia', 'Cognitive psychology', 'Disease', 'Dementia', 'Power (physics)', 'Quantum mechanics', 'Epistemology', 'Physics', 'Philosophy']",https://doi.org/10.1212/wnl.0b013e31821103e6,article,en,20,"Maria‐Luisa Gorno‐Tempini, Argye E. Hillis, Sandra Weıntraub, Andrew Kertesz, Mario F. Mendez","Primary progressive aphasia, Consistency (knowledge bases), Operationalization, Natural language processing, Computer science"
https://openalex.org/W4211130665,Rethinking Rumination,"The response styles theory (Nolen-Hoeksema, 1991) was proposed to explain the insidious relationship between rumination and depression. We review the aspects of the response styles theory that have been well-supported, including evidence that rumination exacerbates depression, enhances negative thinking, impairs problem solving, interferes with instrumental behavior, and erodes social support. Next, we address contradictory and new findings. Specifically, rumination appears to more consistently predict the onset of depression rather than the duration, but rumination interacts with negative cognitive styles to predict the duration of depressive symptoms. Contrary to original predictions, the use of positive distractions has not consistently been correlated with lower levels of depressive symptoms in correlational studies, although dozens of experimental studies show positive distractions relieve depressed mood. Further, evidence now suggests that rumination is associated with psychopathologies in addition to depression, including anxiety, binge eating, binge drinking, and self-harm. We discuss the relationships between rumination and worry and between rumination and other coping or emotion-regulation strategies. Finally, we highlight recent research on the distinction between rumination and more adaptive forms of self-reflection, on basic cognitive deficits or biases in rumination, on its neural and genetic correlates, and on possible interventions to combat rumination.",2008,Perspectives on Psychological Science,journal,"['Susan Nolen–Hoeksema', 'Blair E. Wisco', 'Sonja Lyubomirsky']",4922,"['Rumination', 'Psychology', 'Social psychology', 'Cognitive psychology', 'Cognition', 'Neuroscience']",https://doi.org/10.1111/j.1745-6924.2008.00088.x,article,en,3,"Susan Nolen–Hoeksema, Blair E. Wisco, Sonja Lyubomirsky","Rumination, Psychology, Social psychology, Cognitive psychology, Cognition"
https://openalex.org/W2120019338,Action recognition in the premotor cortex,"We recorded electrical activity from 532 neurons in the rostral part of inferior area 6 (area F5) of two macaque monkeys. Previous data had shown that neurons of this area discharge during goal-directed hand and mouth movements. We describe here the properties of a newly discovered set of F5 neurons (""mirror neurons', n = 92) all of which became active both when the monkey performed a given action and when it observed a similar action performed by the experimenter. Mirror neurons, in order to be visually triggered, required an interaction between the agent of the action and the object of it. The sight of the agent alone or of the object alone (three-dimensional objects, food) were ineffective. Hand and the mouth were by far the most effective agents. The actions most represented among those activating mirror neurons were grasping, manipulating and placing. In most mirror neurons (92%) there was a clear relation between the visual action they responded to and the motor response they coded. In approximately 30% of mirror neurons the congruence was very strict and the effective observed and executed actions corresponded both in terms of general action (e.g. grasping) and in terms of the way in which that action was executed (e.g. precision grip). We conclude by proposing that mirror neurons form a system for matching observation and execution of motor actions. We discuss the possible role of this system in action recognition and, given the proposed homology between F5 and human Brocca's region, we posit that a matching system, similar to that of mirror neurons exists in humans and could be involved in recognition of actions as well as phonetic gestures.",1996,Brain,journal,"['Vittorio Gallese', 'Luciano Fadiga', 'Leonardo Fogassi', 'Giacomo Rizzolatti']",4900,"['Premotor cortex', 'Neuroscience', 'Action (physics)', 'Psychology', 'Cortex (anatomy)', 'Motor cortex', 'Medicine', 'Anatomy', 'Stimulation', 'Dorsum', 'Physics', 'Quantum mechanics']",https://doi.org/10.1093/brain/119.2.593,article,en,4,"Vittorio Gallese, Luciano Fadiga, Leonardo Fogassi, Giacomo Rizzolatti","Premotor cortex, Neuroscience, Action (physics), Psychology, Cortex (anatomy)"
https://openalex.org/W46659105,"Evaluation: from precision, recall and F-measure to ROC, informedness, markedness and correlation","Commonly used evaluation measures including Recall, Precision, F-Measure and Rand Accuracy are biased and should not be used without clear understanding of the biases, and corresponding identification of chance or base case levels of the statistic. Using these measures a system that performs worse in the objective sense of Informedness, can appear to perform better under any of these commonly used measures. We discuss several concepts and measures that reflect the probability that prediction is informed versus chance. Informedness and introduce Markedness as a dual measure for the probability that prediction is marked versus chance. Finally we demonstrate elegant connections between the concepts of Informedness, Markedness, Correlation and Significance as well as their intuitive relationships with Recall and Precision, and outline the extension from the dichotomous case to the general multi-class case.",2020,arXiv (Cornell University),repository,['David Powers'],4430,"['Markedness', 'Measure (data warehouse)', 'Recall', 'Computer science', 'Statistic', 'Correlation', 'Natural language processing', 'Artificial intelligence', 'Class (philosophy)', 'Extension (predicate logic)', 'Statistics', 'Mathematics', 'Psychology', 'Linguistics', 'Data mining', 'Cognitive psychology', 'Geometry', 'Programming language', 'Philosophy']",https://doi.org/10.48550/arxiv.2010.16061,preprint,en,1,David Powers,"Markedness, Measure (data warehouse), Recall, Computer science, Statistic"
https://openalex.org/W2159929956,Mapping the Structural Core of Human Cerebral Cortex,"Structurally segregated and functionally specialized regions of the human cerebral cortex are interconnected by a dense network of cortico-cortical axonal pathways. By using diffusion spectrum imaging, we noninvasively mapped these pathways within and across cortical hemispheres in individual human participants. An analysis of the resulting large-scale structural brain networks reveals a structural core within posterior medial and parietal cerebral cortex, as well as several distinct temporal and frontal modules. Brain regions within the structural core share high degree, strength, and betweenness centrality, and they constitute connector hubs that link all major structural modules. The structural core contains brain regions that form the posterior components of the human default network. Looking both within and outside of core regions, we observed a substantial correspondence between structural connectivity and resting-state functional connectivity measured in the same participants. The spatial and topological centrality of the core within cortex suggests an important role in functional integration.",2008,PLoS Biology,journal,"['Patric Hagmann', 'Leila Cammoun', 'Xavier Gigandet', 'Reto Meuli', 'Christopher J. Honey', 'Van J. Wedeen', 'Olaf Sporns']",4347,"['Neuroscience', 'Betweenness centrality', 'Biology', 'Human brain', 'Cortex (anatomy)', 'Cerebral cortex', 'Functional specialization', 'Core (optical fiber)', 'Centrality', 'Anatomy', 'Computer science', 'Mathematics', 'Telecommunications', 'Combinatorics']",https://doi.org/10.1371/journal.pbio.0060159,article,en,7,"Patric Hagmann, Leila Cammoun, Xavier Gigandet, Reto Meuli, Christopher J. Honey","Neuroscience, Betweenness centrality, Biology, Human brain, Cortex (anatomy)"
https://openalex.org/W2005821483,BrainNet Viewer: A Network Visualization Tool for Human Brain Connectomics,"The human brain is a complex system whose topological organization can be represented using connectomics. Recent studies have shown that human connectomes can be constructed using various neuroimaging technologies and further characterized using sophisticated analytic strategies, such as graph theory. These methods reveal the intriguing topological architectures of human brain networks in healthy populations and explore the changes throughout normal development and aging and under various pathological conditions. However, given the huge complexity of this methodology, toolboxes for graph-based network visualization are still lacking. Here, using MATLAB with a graphical user interface (GUI), we developed a graph-theoretical network visualization toolbox, called BrainNet Viewer, to illustrate human connectomes as ball-and-stick models. Within this toolbox, several combinations of defined files with connectome information can be loaded to display different combinations of brain surface, nodes and edges. In addition, display properties, such as the color and size of network elements or the layout of the figure, can be adjusted within a comprehensive but easy-to-use settings panel. Moreover, BrainNet Viewer draws the brain surface, nodes and edges in sequence and displays brain networks in multiple views, as required by the user. The figure can be manipulated with certain interaction functions to display more detailed information. Furthermore, the figures can be exported as commonly used image file formats or demonstration video for further use. BrainNet Viewer helps researchers to visualize brain networks in an easy, flexible and quick manner, and this software is freely available on the NITRC website (www.nitrc.org/projects/bnv/).",2013,PLoS ONE,journal,"['Mingrui Xia', 'Jinhui Wang', 'Yong He']",4232,"['Connectomics', 'Computer science', 'Connectome', 'Visualization', 'Toolbox', 'Graphical user interface', 'Graph drawing', 'Human–computer interaction', 'Graph', 'Software', 'Artificial intelligence', 'Theoretical computer science', 'Functional connectivity', 'Neuroscience', 'Programming language', 'Biology']",https://doi.org/10.1371/journal.pone.0068910,article,en,3,"Mingrui Xia, Jinhui Wang, Yong He","Connectomics, Computer science, Connectome, Visualization, Toolbox"
https://openalex.org/W2160654481,Representational similarity analysis – connecting the branches of systems neuroscience,"A FUNDAMENTAL CHALLENGE FOR SYSTEMS NEUROSCIENCE IS TO QUANTITATIVELY RELATE ITS THREE MAJOR BRANCHES OF RESEARCH: brain-activity measurement, behavioral measurement, and computational modeling. Using measured brain-activity patterns to evaluate computational network models is complicated by the need to define the correspondency between the units of the model and the channels of the brain-activity data, e.g., single-cell recordings or voxels from functional magnetic resonance imaging (fMRI). Similar correspondency problems complicate relating activity patterns between different modalities of brain-activity measurement (e.g., fMRI and invasive or scalp electrophysiology), and between subjects and species. In order to bridge these divides, we suggest abstracting from the activity patterns themselves and computing representational dissimilarity matrices (RDMs), which characterize the information carried by a given representation in a brain or model. Building on a rich psychological and mathematical literature on similarity analysis, we propose a new experimental and data-analytical framework called representational similarity analysis (RSA), in which multi-channel measures of neural activity are quantitatively related to each other and to computational theory and behavior by comparing RDMs. We demonstrate RSA by relating representations of visual objects as measured with fMRI in early visual cortex and the fusiform face area to computational models spanning a wide range of complexities. The RDMs are simultaneously related via second-level application of multidimensional scaling and tested using randomization and bootstrap techniques. We discuss the broad potential of RSA, including novel approaches to experimental design, and argue that these ideas, which have deep roots in psychology and neuroscience, will allow the integrated quantitative analysis of data from all three branches, thus contributing to a more unified systems neuroscience.",2008,Frontiers in Systems Neuroscience,journal,['Nikolaus Kriegeskorte'],3713,"['Computer science', 'Computational neuroscience', 'Computational model', 'Artificial intelligence', 'Voxel', 'Functional magnetic resonance imaging', 'Similarity (geometry)', 'Visual cortex', 'Brain activity and meditation', 'Neuroimaging', 'Representation (politics)', 'Theoretical computer science', 'Pattern recognition (psychology)', 'Neuroscience', 'Machine learning', 'Electroencephalography', 'Psychology', 'Image (mathematics)', 'Law', 'Political science', 'Politics']",https://doi.org/10.3389/neuro.06.004.2008,article,en,1,Nikolaus Kriegeskorte,"Computer science, Computational neuroscience, Computational model, Artificial intelligence, Voxel"
https://openalex.org/W2951617899,Local-Global Parcellation of the Human Cerebral Cortex from Intrinsic Functional Connectivity MRI,"A central goal in systems neuroscience is the parcellation of the cerebral cortex into discrete neurobiological ""atoms"". Resting-state functional magnetic resonance imaging (rs-fMRI) offers the possibility of in vivo human cortical parcellation. Almost all previous parcellations relied on 1 of 2 approaches. The local gradient approach detects abrupt transitions in functional connectivity patterns. These transitions potentially reflect cortical areal boundaries defined by histology or visuotopic fMRI. By contrast, the global similarity approach clusters similar functional connectivity patterns regardless of spatial proximity, resulting in parcels with homogeneous (similar) rs-fMRI signals. Here, we propose a gradient-weighted Markov Random Field (gwMRF) model integrating local gradient and global similarity approaches. Using task-fMRI and rs-fMRI across diverse acquisition protocols, we found gwMRF parcellations to be more homogeneous than 4 previously published parcellations. Furthermore, gwMRF parcellations agreed with the boundaries of certain cortical areas defined using histology and visuotopic fMRI. Some parcels captured subareal (somatotopic and visuotopic) features that likely reflect distinct computational units within known cortical areas. These results suggest that gwMRF parcellations reveal neurobiologically meaningful features of brain organization and are potentially useful for future applications requiring dimensionality reduction of voxel-wise fMRI data. Multiresolution parcellations generated from 1489 participants are publicly available (https://github.com/ThomasYeoLab/CBIG/tree/master/stable_projects/brain_parcellation/Schaefer2018_LocalGlobal).",2017,Cerebral Cortex,journal,"['Alexander Schaefer', 'Ru Kong', 'Evan M. Gordon', 'Timothy O. Laumann', 'Xi‐Nian Zuo', 'Avram J. Holmes', 'Simon B. Eickhoff', 'B.T. Thomas Yeo']",3656,"['Neuroscience', 'Functional connectivity', 'Cerebral cortex', 'Psychology', 'Human brain', 'Brain mapping']",https://doi.org/10.1093/cercor/bhx179,article,en,8,"Alexander Schaefer, Ru Kong, Evan M. Gordon, Timothy O. Laumann, Xi‐Nian Zuo","Neuroscience, Functional connectivity, Cerebral cortex, Psychology, Human brain"
https://openalex.org/W2134305330,Cluster failure: Why fMRI inferences for spatial extent have inflated false-positive rates,"The most widely used task functional magnetic resonance imaging (fMRI) analyses use parametric statistical methods that depend on a variety of assumptions. In this work, we use real resting-state data and a total of 3 million random task group analyses to compute empirical familywise error rates for the fMRI software packages SPM, FSL, and AFNI, as well as a nonparametric permutation method. For a nominal familywise error rate of 5%, the parametric statistical methods are shown to be conservative for voxelwise inference and invalid for clusterwise inference. Our results suggest that the principal cause of the invalid cluster inferences is spatial autocorrelation functions that do not follow the assumed Gaussian shape. By comparison, the nonparametric permutation test is found to produce nominal results for voxelwise as well as clusterwise inference. These findings speak to the need of validating the statistical methods being used in the field of neuroimaging.",2016,Proceedings of the National Academy of Sciences,journal,"['Anders Eklund', 'Thomas E. Nichols', 'Hans Knutsson']",3617,"['Inference', 'Parametric statistics', 'Computer science', 'Permutation (music)', 'Voxel', 'Statistical inference', 'Multiple comparisons problem', 'Statistical parametric mapping', 'Artificial intelligence', 'Resampling', 'False discovery rate', 'Pattern recognition (psychology)', 'Statistics', 'Statistical hypothesis testing', 'Cluster (spacecraft)', 'Nonparametric statistics', 'Data mining', 'Mathematics', 'Medicine', 'Biology', 'Magnetic resonance imaging', 'Biochemistry', 'Radiology', 'Gene', 'Programming language', 'Acoustics', 'Physics']",https://doi.org/10.1073/pnas.1602413113,article,en,3,"Anders Eklund, Thomas E. Nichols, Hans Knutsson","Inference, Parametric statistics, Computer science, Permutation (music), Voxel"
https://openalex.org/W2057550180,DPARSF: a MATLAB toolbox for “pipeline” data analysis of resting-state fMRI,"Resting-state functional magnetic resonance imaging (fMRI) has attracted more and more attention because of its effectiveness, simplicity and non-invasiveness in exploration of the intrinsic functional architecture of the human brain. However, user-friendly toolbox for ""pipeline"" data analysis of resting-state fMRI is still lacking. Based on some functions in Statistical Parametric Mapping (SPM) and Resting-State fMRI Data Analysis Toolkit (REST), we have developed a MATLAB toolbox called Data Processing Assistant for Resting-State fMRI (DPARSF) for ""pipeline"" data analysis of resting-state fMRI. After the user arranges the Digital Imaging and Communications in Medicine (DICOM) files and click a few buttons to set parameters, DPARSF will then give all the preprocessed (slice timing, realign, normalize, smooth) data and results for functional connectivity, regional homogeneity, amplitude of low-frequency fluctuation (ALFF), and fractional ALFF. DPARSF can also create a report for excluding subjects with excessive head motion and generate a set of pictures for easily checking the effect of normalization. In addition, users can also use DPARSF to extract time courses from regions of interest.",2010,Frontiers in Systems Neuroscience,journal,['Chao‐Gan Yan'],3539,"['Resting state fMRI', 'Toolbox', 'Computer science', 'Functional magnetic resonance imaging', 'Statistical parametric mapping', 'DICOM', 'Functional connectivity', 'Normalization (sociology)', 'Data set', 'Pipeline (software)', 'Artificial intelligence', 'Pattern recognition (psychology)', 'Neuroscience', 'Magnetic resonance imaging', 'Psychology', 'Medicine', 'Radiology', 'Sociology', 'Programming language', 'Anthropology']",https://doi.org/10.3389/fnsys.2010.00013,article,en,1,Chao‐Gan Yan,"Resting state fMRI, Toolbox, Computer science, Functional magnetic resonance imaging, Statistical parametric mapping"
https://openalex.org/W2301358467,Efficient multi-scale 3D CNN with fully connected CRF for accurate brain lesion segmentation,"We propose a dual pathway, 11-layers deep, three-dimensional Convolutional Neural Network for the challenging task of brain lesion segmentation. The devised architecture is the result of an in-depth analysis of the limitations of current networks proposed for similar applications. To overcome the computational burden of processing 3D medical scans, we have devised an efficient and effective dense training scheme which joins the processing of adjacent image patches into one pass through the network while automatically adapting to the inherent class imbalance present in the data. Further, we analyze the development of deeper, thus more discriminative 3D CNNs. In order to incorporate both local and larger contextual information, we employ a dual pathway architecture that processes the input images at multiple scales simultaneously. For post-processing of the network's soft segmentation, we use a 3D fully connected Conditional Random Field which effectively removes false positives. Our pipeline is extensively evaluated on three challenging tasks of lesion segmentation in multi-channel MRI patient data with traumatic brain injuries, brain tumours, and ischemic stroke. We improve on the state-of-the-art for all three applications, with top ranking performance on the public benchmarks BRATS 2015 and ISLES 2015. Our method is computationally efficient, which allows its adoption in a variety of research and clinical settings. The source code of our implementation is made publicly available.",2016,Medical Image Analysis,journal,"['Konstantinos Kamnitsas', 'Christian Ledig', 'Virginia Newcombe', 'Joanna Simpson', 'Andrew D. Kane', 'David Menon', 'Daniel Rueckert', 'Ben Glocker']",3451,"['Computer science', 'Conditional random field', 'Discriminative model', 'Artificial intelligence', 'Segmentation', 'Pipeline (software)', 'Convolutional neural network', 'Pattern recognition (psychology)', 'Deep learning', 'Machine learning', 'Programming language']",https://doi.org/10.1016/j.media.2016.10.004,article,en,8,"Konstantinos Kamnitsas, Christian Ledig, Virginia Newcombe, Joanna Simpson, Andrew D. Kane","Computer science, Conditional random field, Discriminative model, Artificial intelligence, Segmentation"
https://openalex.org/W1996538430,Shaping Functional Architecture by Oscillatory Alpha Activity: Gating by Inhibition,"In order to understand the working brain as a network, it is essential to identify the mechanisms by which information is gated between regions. We here propose that information is gated by inhibiting task-irrelevant regions, thus routing information to task-relevant regions. The functional inhibition is reflected in oscillatory activity in the alpha band (8-13 Hz). From a physiological perspective the alpha activity provides pulsed inhibition reducing the processing capabilities of a given area. Active processing in the engaged areas is reflected by neuronal synchronization in the gamma band (30-100 Hz) accompanied by an alpha band decrease. According to this framework the brain could be studied as a network by investigating cross-frequency interactions between gamma and alpha activity. Specifically the framework predicts that optimal task performance will correlate with alpha activity in task-irrelevant areas. In this review we will discuss the empirical support for this framework. Given that alpha activity is by far the strongest signal recorded by EEG and MEG, we propose that a major part of the electrophysiological activity detected from the working brain reflects gating by inhibition.",2010,Frontiers in Human Neuroscience,journal,"['Ole Jensen', 'Ali Mazaheri']",3307,"['Alpha (finance)', 'Gating', 'Task (project management)', 'Brain activity and meditation', 'Neuroscience', 'Electroencephalography', 'Synchronization (alternating current)', 'Electrophysiology', 'Perspective (graphical)', 'Computer science', 'Psychology', 'Artificial intelligence', 'Channel (broadcasting)', 'Telecommunications', 'Developmental psychology', 'Construct validity', 'Management', 'Psychometrics', 'Economics']",https://doi.org/10.3389/fnhum.2010.00186,article,en,2,"Ole Jensen, Ali Mazaheri","Alpha (finance), Gating, Task (project management), Brain activity and meditation, Neuroscience"
